opening L1_Training_out_with_lambda:0.001000.txt
starting
Loading model
Epoch 277: Train MSE is 0.970557 | Dev MSE is 1.022697
Epoch 278: Train MSE is 0.970561 | Dev MSE is 1.022698
Epoch 279: Train MSE is 0.970549 | Dev MSE is 1.022697
Epoch 280: Train MSE is 0.970559 | Dev MSE is 1.022698
Epoch 281: Train MSE is 0.970550 | Dev MSE is 1.022697
Epoch 282: Train MSE is 0.970551 | Dev MSE is 1.022700
Epoch 283: Train MSE is 0.970562 | Dev MSE is 1.022696
Epoch 284: Train MSE is 0.970560 | Dev MSE is 1.022699
Epoch 285: Train MSE is 0.970555 | Dev MSE is 1.022699
Epoch 286: Train MSE is 0.970555 | Dev MSE is 1.022697
Epoch 287: Train MSE is 0.970558 | Dev MSE is 1.022699
Epoch 288: Train MSE is 0.970553 | Dev MSE is 1.022699
Epoch 289: Train MSE is 0.970558 | Dev MSE is 1.022700
Epoch 290: Train MSE is 0.970551 | Dev MSE is 1.022699
Epoch 291: Train MSE is 0.970554 | Dev MSE is 1.022696
Epoch 292: Train MSE is 0.970549 | Dev MSE is 1.022699
Epoch 293: Train MSE is 0.970551 | Dev MSE is 1.022697
Epoch 294: Train MSE is 0.970558 | Dev MSE is 1.022698
Epoch 295: Train MSE is 0.970551 | Dev MSE is 1.022696
Epoch 296: Train MSE is 0.970552 | Dev MSE is 1.022699
Epoch 297: Train MSE is 0.970554 | Dev MSE is 1.022699
Epoch 298: Train MSE is 0.970554 | Dev MSE is 1.022700
Epoch 299: Train MSE is 0.970562 | Dev MSE is 1.022697
Epoch 300: Train MSE is 0.970556 | Dev MSE is 1.022697
