opening L1_Training_out_with_lambda:0.002000.txt
starting
Loading model
Epoch 271: Train MSE is 0.975586 | Dev MSE is 1.026600
Epoch 272: Train MSE is 0.975557 | Dev MSE is 1.026617
Epoch 273: Train MSE is 0.975593 | Dev MSE is 1.026598
Epoch 274: Train MSE is 0.975526 | Dev MSE is 1.026604
Epoch 275: Train MSE is 0.975574 | Dev MSE is 1.026583
Epoch 276: Train MSE is 0.975556 | Dev MSE is 1.026608
Epoch 277: Train MSE is 0.975502 | Dev MSE is 1.026590
Epoch 278: Train MSE is 0.975570 | Dev MSE is 1.026583
Epoch 279: Train MSE is 0.975501 | Dev MSE is 1.026582
Epoch 280: Train MSE is 0.975560 | Dev MSE is 1.026599
Epoch 281: Train MSE is 0.975562 | Dev MSE is 1.026600
Epoch 282: Train MSE is 0.975567 | Dev MSE is 1.026610
Epoch 283: Train MSE is 0.975544 | Dev MSE is 1.026587
Epoch 284: Train MSE is 0.975522 | Dev MSE is 1.026598
Epoch 285: Train MSE is 0.975557 | Dev MSE is 1.026602
Epoch 286: Train MSE is 0.975583 | Dev MSE is 1.026602
Epoch 287: Train MSE is 0.975526 | Dev MSE is 1.026605
Epoch 288: Train MSE is 0.975582 | Dev MSE is 1.026596
Epoch 289: Train MSE is 0.975546 | Dev MSE is 1.026605
Epoch 290: Train MSE is 0.975558 | Dev MSE is 1.026602
Epoch 291: Train MSE is 0.975563 | Dev MSE is 1.026615
Epoch 292: Train MSE is 0.975559 | Dev MSE is 1.026597
Epoch 293: Train MSE is 0.975588 | Dev MSE is 1.026596
Epoch 294: Train MSE is 0.975554 | Dev MSE is 1.026596
Epoch 295: Train MSE is 0.975586 | Dev MSE is 1.026610
Epoch 296: Train MSE is 0.975563 | Dev MSE is 1.026610
Epoch 297: Train MSE is 0.975508 | Dev MSE is 1.026589
Epoch 298: Train MSE is 0.975560 | Dev MSE is 1.026589
Epoch 299: Train MSE is 0.975504 | Dev MSE is 1.026598
Epoch 300: Train MSE is 0.975556 | Dev MSE is 1.026593
